Region,Sweet_Preference,Festival,Language,Socio_Economic_Class,Purchase_Amount
East India,Chhena Poda,Durga Puja,Bengali,Lower,156.74
North India,Ladoo,Holi,Punjabi,Middle,357.53
North India,Rasgulla,Diwali,Hindi,Lower,144.2
South India,Kozhukattai,Ugadi,Malayalam,Lower,569.04
West India,Puran Poli,Ganesh Chaturthi,Konkani,Middle,740.34
East India,Chhena Poda,Poila Baisakh,Bengali,Middle,367.39
East India,Sandesh,Durga Puja,Bengali,Lower,990.76
South India,Kozhukattai,Diwali,Telugu,Lower,190.77
North India,Barfi,Baisakhi,Urdu,Upper,999.72
South India,Kozhukattai,Onam,Malayalam,Lower,951.96
East India,Chhena Poda,Makar Sankranti,Assamese,Upper,496.33
South India,Boondi Laddu,Onam,Malayalam,Middle,343.55
South India,Boondi Laddu,Onam,Kannada,Lower,167.46
North India,Barfi,Diwali,Hindi,Middle,572.01
East India,Chhena Poda,Durga Puja,Assamese,Upper,103.18
West India,Puran Poli,Diwali,Konkani,Middle,827.94
East India,Chhena Poda,Poila Baisakh,Odia,Upper,755.89
North India,Rasgulla,Diwali,Urdu,Middle,223.26
South India,Kozhukattai,Pongal,Tamil,Middle,884.85
East India,Chhena Poda,Rath Yatra,Bengali,Middle,191.38
East India,Chhena Poda,Makar Sankranti,Odia,Lower,505.15
East India,Rasgulla,Makar Sankranti,Assamese,Upper,485.26
North India,Gulab Jamun,Diwali,Hindi,Middle,626.95
North India,Barfi,Karva Chauth,Punjabi,Middle,878.51
East India,Chhena Poda,Rath Yatra,Bengali,Lower,976.76
South India,Kozhukattai,Onam,Kannada,Upper,706.56
South India,Mysore Pak,Pongal,Malayalam,Lower,613.7
East India,Pitha,Makar Sankranti,Assamese,Middle,153.52
West India,Ladoo,Navratri,Gujarati,Upper,484.25
South India,Payasam,Onam,Tamil,Upper,966.2
North India,Rasgulla,Karva Chauth,Hindi,Middle,311.39
South India,Boondi Laddu,Pongal,Malayalam,Upper,359.24
North India,Gulab Jamun,Baisakhi,Hindi,Middle,541.01
West India,Puran Poli,Gudi Padwa,Gujarati,Lower,627.98
West India,Puran Poli,Navratri,Gujarati,Middle,466.92
North India,Rasgulla,Diwali,Punjabi,Lower,217.99
East India,Pitha,Rath Yatra,Odia,Upper,140.59
West India,Ladoo,Diwali,Konkani,Lower,293.15
South India,Payasam,Pongal,Malayalam,Lower,893.87
West India,Puran Poli,Gudi Padwa,Gujarati,Lower,249.6
West India,Shrikhand,Ganesh Chaturthi,Gujarati,Middle,342.9
North India,Barfi,Holi,Urdu,Lower,137.23
North India,Gulab Jamun,Karva Chauth,Urdu,Lower,201.16
South India,Payasam,Onam,Tamil,Upper,796.15
West India,Ladoo,Diwali,Marathi,Middle,358.27
South India,Payasam,Ugadi,Kannada,Upper,719.72
North India,Barfi,Baisakhi,Urdu,Middle,828.93
East India,Sandesh,Rath Yatra,Bengali,Lower,761.99
North India,Rasgulla,Baisakhi,Hindi,Upper,913.09
West India,Puran Poli,Ganesh Chaturthi,Konkani,Upper,273.94
West India,Puran Poli,Gudi Padwa,Marathi,Middle,271.06
West India,Mohanthal,Diwali,Gujarati,Lower,390.58
East India,Pitha,Makar Sankranti,Odia,Upper,428.29
North India,Gulab Jamun,Holi,Urdu,Upper,511.52
North India,Rasgulla,Baisakhi,Hindi,Lower,609.36
North India,Barfi,Baisakhi,Punjabi,Middle,926.9
North India,Rasgulla,Holi,Punjabi,Lower,753.26
South India,Kozhukattai,Pongal,Telugu,Upper,501.83
West India,Shrikhand,Ganesh Chaturthi,Gujarati,Upper,134.44
North India,Rasgulla,Diwali,Punjabi,Middle,520.31
North India,Barfi,Baisakhi,Punjabi,Upper,421.17
South India,Kozhukattai,Ugadi,Telugu,Lower,701.61
North India,Rasgulla,Holi,Urdu,Upper,941.4
East India,Chhena Poda,Rath Yatra,Bengali,Lower,437.54
East India,Rasgulla,Makar Sankranti,Bengali,Lower,546.85
East India,Sandesh,Poila Baisakh,Assamese,Upper,910.98
South India,Boondi Laddu,Diwali,Malayalam,Middle,141.14
East India,Chhena Poda,Durga Puja,Odia,Upper,850.4
South India,Payasam,Diwali,Tamil,Middle,988.45
North India,Barfi,Karva Chauth,Urdu,Lower,855.86
North India,Ladoo,Baisakhi,Hindi,Lower,160.6
East India,Chhena Poda,Makar Sankranti,Bengali,Lower,889.43
North India,Gulab Jamun,Diwali,Hindi,Upper,735.42
West India,Shrikhand,Gudi Padwa,Marathi,Middle,675.07
West India,Puran Poli,Navratri,Konkani,Middle,958.35
East India,Rasgulla,Poila Baisakh,Assamese,Middle,219.66
South India,Payasam,Onam,Malayalam,Middle,392.41
East India,Pitha,Rath Yatra,Assamese,Middle,859.65
East India,Sandesh,Durga Puja,Bengali,Lower,748.18
West India,Ladoo,Ganesh Chaturthi,Marathi,Middle,276.12
East India,Rasgulla,Durga Puja,Odia,Upper,731.82
West India,Ladoo,Diwali,Konkani,Lower,318.04
South India,Payasam,Onam,Telugu,Middle,394.89
South India,Boondi Laddu,Ugadi,Malayalam,Upper,519.76
South India,Payasam,Diwali,Kannada,Upper,634.88
North India,Rasgulla,Baisakhi,Urdu,Lower,260.43
North India,Barfi,Holi,Hindi,Middle,508.97
North India,Gulab Jamun,Karva Chauth,Hindi,Middle,605.32
North India,Ladoo,Karva Chauth,Urdu,Middle,254.95
South India,Mysore Pak,Ugadi,Malayalam,Upper,370.34
East India,Chhena Poda,Poila Baisakh,Odia,Lower,484.66
South India,Kozhukattai,Pongal,Malayalam,Upper,173.01
East India,Pitha,Durga Puja,Odia,Upper,504.82
North India,Gulab Jamun,Karva Chauth,Hindi,Upper,962.39
West India,Ladoo,Gudi Padwa,Gujarati,Lower,392.09
South India,Payasam,Ugadi,Kannada,Lower,357.9
North India,Rasgulla,Diwali,Urdu,Lower,504.36
North India,Rasgulla,Holi,Hindi,Middle,229.44
East India,Chhena Poda,Durga Puja,Bengali,Middle,297.65
East India,Pitha,Rath Yatra,Bengali,Middle,599.97
East India,Sandesh,Rath Yatra,Odia,Middle,682.68
East India,Pitha,Rath Yatra,Assamese,Middle,784.3
West India,Ladoo,Diwali,Gujarati,Upper,621.07
North India,Ladoo,Diwali,Hindi,Middle,804.71
West India,Puran Poli,Navratri,Gujarati,Upper,827.75
East India,Sandesh,Makar Sankranti,Odia,Middle,737.51
South India,Payasam,Onam,Telugu,Middle,181.16
West India,Mohanthal,Diwali,Gujarati,Middle,620.43
South India,Boondi Laddu,Onam,Telugu,Middle,813.22
West India,Mohanthal,Navratri,Gujarati,Middle,585.67
North India,Ladoo,Baisakhi,Urdu,Middle,174.95
North India,Gulab Jamun,Holi,Punjabi,Middle,377.58
West India,Shrikhand,Ganesh Chaturthi,Marathi,Middle,771.97
West India,Ladoo,Ganesh Chaturthi,Konkani,Upper,320.91
North India,Rasgulla,Holi,Urdu,Upper,487.17
East India,Sandesh,Rath Yatra,Bengali,Upper,664.81
South India,Mysore Pak,Onam,Malayalam,Middle,466.83
North India,Gulab Jamun,Baisakhi,Hindi,Upper,321.7
South India,Payasam,Pongal,Telugu,Middle,644.04
North India,Gulab Jamun,Karva Chauth,Urdu,Upper,348.44
West India,Shrikhand,Gudi Padwa,Gujarati,Upper,711.61
South India,Kozhukattai,Ugadi,Telugu,Upper,571.45
North India,Rasgulla,Baisakhi,Urdu,Lower,945.74
North India,Rasgulla,Karva Chauth,Hindi,Lower,935.9
West India,Mohanthal,Diwali,Marathi,Lower,109.72
South India,Mysore Pak,Pongal,Kannada,Upper,480.7
South India,Mysore Pak,Ugadi,Malayalam,Upper,641.51
East India,Sandesh,Poila Baisakh,Bengali,Middle,300.98
West India,Mohanthal,Navratri,Marathi,Middle,868.46
West India,Ladoo,Gudi Padwa,Konkani,Middle,394.71
West India,Shrikhand,Diwali,Konkani,Lower,559.31
South India,Kozhukattai,Diwali,Tamil,Lower,539.3
South India,Mysore Pak,Ugadi,Malayalam,Upper,636.34
East India,Sandesh,Durga Puja,Assamese,Lower,521.98
South India,Boondi Laddu,Diwali,Telugu,Upper,970.17
South India,Payasam,Onam,Telugu,Lower,424.93
East India,Chhena Poda,Durga Puja,Assamese,Upper,137.11
West India,Mohanthal,Diwali,Marathi,Lower,115.5
East India,Chhena Poda,Makar Sankranti,Odia,Middle,916.73
East India,Chhena Poda,Durga Puja,Assamese,Upper,430.24
West India,Puran Poli,Navratri,Konkani,Upper,716.3
West India,Shrikhand,Navratri,Marathi,Upper,898.78
East India,Rasgulla,Rath Yatra,Bengali,Middle,317.34
East India,Rasgulla,Poila Baisakh,Assamese,Lower,858.18
East India,Pitha,Rath Yatra,Bengali,Upper,779.9
West India,Puran Poli,Navratri,Gujarati,Middle,121.81
South India,Kozhukattai,Pongal,Malayalam,Middle,197.35
North India,Rasgulla,Holi,Hindi,Upper,904.7
West India,Shrikhand,Navratri,Gujarati,Lower,180.05
North India,Ladoo,Karva Chauth,Urdu,Middle,609.14
South India,Payasam,Onam,Malayalam,Lower,242.55
North India,Gulab Jamun,Diwali,Hindi,Lower,530.14
South India,Kozhukattai,Onam,Malayalam,Middle,593.0
North India,Barfi,Baisakhi,Urdu,Middle,908.54
South India,Mysore Pak,Diwali,Malayalam,Middle,695.11
North India,Barfi,Karva Chauth,Urdu,Middle,680.88
West India,Shrikhand,Gudi Padwa,Konkani,Upper,768.68
West India,Mohanthal,Navratri,Gujarati,Middle,276.95
East India,Chhena Poda,Makar Sankranti,Assamese,Middle,122.74
North India,Gulab Jamun,Karva Chauth,Punjabi,Middle,229.91
North India,Rasgulla,Karva Chauth,Punjabi,Lower,107.01
East India,Sandesh,Rath Yatra,Bengali,Upper,343.99
West India,Shrikhand,Diwali,Gujarati,Lower,542.72
South India,Boondi Laddu,Onam,Tamil,Lower,200.22
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,805.95
South India,Boondi Laddu,Pongal,Telugu,Upper,289.75
West India,Ladoo,Ganesh Chaturthi,Marathi,Lower,341.2
South India,Mysore Pak,Ugadi,Telugu,Upper,201.22
West India,Puran Poli,Diwali,Marathi,Lower,341.14
West India,Puran Poli,Diwali,Konkani,Middle,607.34
West India,Ladoo,Ganesh Chaturthi,Konkani,Lower,464.53
North India,Barfi,Baisakhi,Punjabi,Upper,905.58
North India,Rasgulla,Holi,Urdu,Lower,119.75
East India,Pitha,Poila Baisakh,Bengali,Middle,859.35
North India,Ladoo,Baisakhi,Punjabi,Middle,930.49
East India,Rasgulla,Rath Yatra,Assamese,Upper,925.56
South India,Mysore Pak,Diwali,Tamil,Lower,518.77
North India,Gulab Jamun,Karva Chauth,Urdu,Upper,618.32
West India,Shrikhand,Ganesh Chaturthi,Gujarati,Upper,529.85
East India,Chhena Poda,Poila Baisakh,Bengali,Lower,573.94
West India,Shrikhand,Gudi Padwa,Marathi,Middle,191.79
East India,Chhena Poda,Makar Sankranti,Bengali,Middle,631.15
North India,Barfi,Karva Chauth,Urdu,Lower,244.71
West India,Mohanthal,Gudi Padwa,Konkani,Lower,968.52
East India,Sandesh,Poila Baisakh,Odia,Lower,623.24
West India,Shrikhand,Gudi Padwa,Gujarati,Lower,680.41
East India,Rasgulla,Makar Sankranti,Bengali,Upper,421.08
West India,Mohanthal,Gudi Padwa,Marathi,Upper,167.28
North India,Barfi,Diwali,Urdu,Middle,442.38
South India,Kozhukattai,Ugadi,Kannada,Lower,413.18
South India,Mysore Pak,Pongal,Malayalam,Lower,612.48
West India,Mohanthal,Diwali,Gujarati,Upper,391.2
East India,Chhena Poda,Makar Sankranti,Odia,Upper,966.46
South India,Mysore Pak,Pongal,Tamil,Lower,779.25
North India,Rasgulla,Holi,Urdu,Upper,799.95
South India,Payasam,Ugadi,Telugu,Lower,236.82
West India,Puran Poli,Ganesh Chaturthi,Marathi,Upper,424.15
West India,Ladoo,Diwali,Konkani,Lower,340.13
East India,Chhena Poda,Rath Yatra,Odia,Upper,492.39
East India,Rasgulla,Rath Yatra,Assamese,Upper,785.7
South India,Kozhukattai,Pongal,Tamil,Middle,225.73
West India,Shrikhand,Navratri,Marathi,Middle,159.26
East India,Sandesh,Rath Yatra,Assamese,Lower,472.65
East India,Chhena Poda,Makar Sankranti,Odia,Middle,872.56
South India,Kozhukattai,Ugadi,Telugu,Lower,140.05
North India,Barfi,Karva Chauth,Punjabi,Upper,109.07
East India,Rasgulla,Makar Sankranti,Assamese,Upper,280.72
West India,Shrikhand,Ganesh Chaturthi,Gujarati,Upper,212.48
West India,Mohanthal,Gudi Padwa,Gujarati,Middle,421.96
West India,Mohanthal,Navratri,Konkani,Lower,923.13
West India,Mohanthal,Diwali,Konkani,Middle,215.61
West India,Mohanthal,Diwali,Gujarati,Lower,498.9
North India,Ladoo,Diwali,Punjabi,Lower,485.54
South India,Mysore Pak,Onam,Tamil,Upper,792.54
North India,Ladoo,Baisakhi,Hindi,Middle,733.79
East India,Pitha,Makar Sankranti,Odia,Middle,860.44
North India,Rasgulla,Karva Chauth,Urdu,Lower,850.99
East India,Sandesh,Rath Yatra,Bengali,Upper,278.52
North India,Gulab Jamun,Baisakhi,Urdu,Middle,148.39
North India,Rasgulla,Holi,Urdu,Middle,164.87
East India,Rasgulla,Makar Sankranti,Bengali,Middle,490.35
East India,Sandesh,Durga Puja,Bengali,Lower,668.95
East India,Pitha,Durga Puja,Odia,Upper,761.87
East India,Pitha,Rath Yatra,Bengali,Middle,177.91
West India,Mohanthal,Gudi Padwa,Gujarati,Upper,600.67
West India,Ladoo,Ganesh Chaturthi,Konkani,Lower,512.75
East India,Rasgulla,Poila Baisakh,Bengali,Middle,201.38
East India,Rasgulla,Makar Sankranti,Odia,Lower,956.79
East India,Sandesh,Rath Yatra,Bengali,Lower,301.19
West India,Mohanthal,Gudi Padwa,Marathi,Upper,207.02
South India,Kozhukattai,Onam,Malayalam,Middle,999.03
East India,Chhena Poda,Rath Yatra,Assamese,Upper,316.29
South India,Boondi Laddu,Ugadi,Kannada,Middle,687.9
West India,Mohanthal,Gudi Padwa,Marathi,Upper,984.11
East India,Pitha,Makar Sankranti,Bengali,Middle,250.61
West India,Puran Poli,Gudi Padwa,Konkani,Upper,428.77
West India,Shrikhand,Ganesh Chaturthi,Konkani,Middle,935.88
North India,Rasgulla,Diwali,Punjabi,Middle,500.02
West India,Shrikhand,Diwali,Marathi,Upper,157.89
North India,Gulab Jamun,Karva Chauth,Hindi,Lower,496.43
East India,Pitha,Poila Baisakh,Assamese,Middle,900.36
North India,Rasgulla,Baisakhi,Urdu,Middle,684.3
North India,Ladoo,Diwali,Urdu,Middle,184.46
South India,Payasam,Onam,Telugu,Lower,606.24
North India,Gulab Jamun,Holi,Urdu,Lower,957.44
North India,Gulab Jamun,Baisakhi,Urdu,Lower,417.94
South India,Boondi Laddu,Diwali,Kannada,Lower,410.89
West India,Shrikhand,Ganesh Chaturthi,Gujarati,Middle,424.33
North India,Barfi,Baisakhi,Urdu,Lower,821.72
East India,Rasgulla,Durga Puja,Odia,Upper,369.75
East India,Rasgulla,Rath Yatra,Bengali,Middle,101.91
West India,Mohanthal,Ganesh Chaturthi,Marathi,Upper,319.28
West India,Shrikhand,Ganesh Chaturthi,Konkani,Middle,882.21
North India,Rasgulla,Karva Chauth,Hindi,Lower,648.46
South India,Kozhukattai,Pongal,Malayalam,Lower,340.69
South India,Payasam,Diwali,Kannada,Middle,931.26
East India,Rasgulla,Rath Yatra,Bengali,Middle,955.27
East India,Pitha,Durga Puja,Bengali,Middle,590.51
East India,Rasgulla,Makar Sankranti,Bengali,Middle,424.72
South India,Boondi Laddu,Pongal,Tamil,Lower,360.39
East India,Sandesh,Rath Yatra,Assamese,Lower,459.26
West India,Ladoo,Navratri,Konkani,Lower,904.27
East India,Pitha,Rath Yatra,Assamese,Upper,834.44
South India,Kozhukattai,Diwali,Kannada,Lower,960.34
South India,Boondi Laddu,Ugadi,Malayalam,Upper,745.72
East India,Rasgulla,Poila Baisakh,Odia,Middle,959.49
South India,Mysore Pak,Onam,Kannada,Upper,964.91
East India,Sandesh,Poila Baisakh,Odia,Middle,358.45
West India,Shrikhand,Navratri,Gujarati,Middle,928.57
West India,Shrikhand,Navratri,Marathi,Lower,514.83
West India,Shrikhand,Ganesh Chaturthi,Marathi,Upper,210.73
North India,Barfi,Diwali,Urdu,Lower,198.15
West India,Shrikhand,Gudi Padwa,Marathi,Lower,902.11
South India,Kozhukattai,Onam,Telugu,Upper,476.49
South India,Mysore Pak,Onam,Malayalam,Upper,268.45
South India,Payasam,Onam,Tamil,Upper,929.63
South India,Kozhukattai,Ugadi,Tamil,Upper,363.4
West India,Shrikhand,Navratri,Marathi,Lower,136.5
West India,Shrikhand,Diwali,Konkani,Lower,735.94
East India,Pitha,Durga Puja,Bengali,Upper,453.69
East India,Sandesh,Makar Sankranti,Assamese,Middle,851.59
North India,Ladoo,Holi,Punjabi,Middle,177.41
North India,Rasgulla,Holi,Punjabi,Upper,675.07
South India,Boondi Laddu,Pongal,Malayalam,Lower,561.24
West India,Ladoo,Navratri,Gujarati,Upper,466.81
South India,Payasam,Pongal,Tamil,Lower,915.68
West India,Shrikhand,Navratri,Marathi,Middle,179.76
West India,Ladoo,Diwali,Marathi,Upper,293.57
South India,Kozhukattai,Ugadi,Tamil,Lower,165.32
South India,Payasam,Pongal,Tamil,Middle,535.12
South India,Mysore Pak,Pongal,Tamil,Upper,261.68
South India,Boondi Laddu,Ugadi,Tamil,Lower,120.46
South India,Payasam,Onam,Kannada,Middle,938.43
West India,Ladoo,Diwali,Marathi,Lower,212.17
South India,Boondi Laddu,Diwali,Kannada,Lower,652.29
South India,Kozhukattai,Onam,Tamil,Middle,988.55
North India,Gulab Jamun,Diwali,Urdu,Upper,997.49
West India,Shrikhand,Gudi Padwa,Marathi,Upper,967.4
East India,Sandesh,Rath Yatra,Bengali,Lower,858.44
East India,Sandesh,Makar Sankranti,Assamese,Upper,471.51
North India,Ladoo,Holi,Punjabi,Middle,189.51
South India,Mysore Pak,Onam,Malayalam,Lower,952.23
South India,Mysore Pak,Onam,Malayalam,Upper,852.85
South India,Boondi Laddu,Ugadi,Kannada,Middle,401.13
South India,Mysore Pak,Onam,Tamil,Middle,532.38
East India,Rasgulla,Durga Puja,Bengali,Upper,376.26
West India,Shrikhand,Navratri,Konkani,Middle,467.02
East India,Sandesh,Poila Baisakh,Bengali,Middle,929.25
South India,Payasam,Diwali,Malayalam,Upper,518.86
South India,Kozhukattai,Onam,Malayalam,Middle,619.47
West India,Puran Poli,Ganesh Chaturthi,Konkani,Lower,900.41
East India,Pitha,Rath Yatra,Odia,Lower,339.55
North India,Rasgulla,Holi,Punjabi,Upper,209.27
East India,Sandesh,Durga Puja,Odia,Upper,436.09
South India,Kozhukattai,Diwali,Tamil,Lower,265.51
North India,Rasgulla,Holi,Urdu,Lower,877.04
East India,Rasgulla,Poila Baisakh,Assamese,Middle,410.48
East India,Sandesh,Rath Yatra,Odia,Middle,951.1
East India,Sandesh,Poila Baisakh,Odia,Lower,995.68
East India,Chhena Poda,Poila Baisakh,Odia,Upper,882.27
East India,Sandesh,Poila Baisakh,Bengali,Middle,542.53
East India,Rasgulla,Rath Yatra,Bengali,Upper,292.28
East India,Rasgulla,Rath Yatra,Assamese,Middle,165.53
South India,Boondi Laddu,Ugadi,Malayalam,Middle,700.49
South India,Kozhukattai,Onam,Kannada,Middle,484.34
North India,Rasgulla,Holi,Punjabi,Lower,455.39
East India,Pitha,Durga Puja,Odia,Middle,802.45
West India,Mohanthal,Gudi Padwa,Marathi,Middle,339.77
West India,Mohanthal,Navratri,Marathi,Upper,976.15
South India,Kozhukattai,Onam,Tamil,Lower,843.95
East India,Sandesh,Durga Puja,Bengali,Upper,119.35
North India,Ladoo,Karva Chauth,Punjabi,Upper,774.79
West India,Mohanthal,Diwali,Gujarati,Middle,598.78
West India,Ladoo,Gudi Padwa,Konkani,Upper,383.38
West India,Puran Poli,Gudi Padwa,Gujarati,Lower,720.9
North India,Barfi,Holi,Punjabi,Lower,724.02
East India,Pitha,Makar Sankranti,Odia,Lower,609.43
West India,Puran Poli,Diwali,Konkani,Lower,523.59
East India,Pitha,Durga Puja,Bengali,Middle,151.98
South India,Mysore Pak,Diwali,Kannada,Lower,142.22
South India,Boondi Laddu,Diwali,Tamil,Lower,425.36
West India,Mohanthal,Ganesh Chaturthi,Marathi,Lower,383.52
South India,Boondi Laddu,Pongal,Malayalam,Middle,584.28
North India,Rasgulla,Diwali,Punjabi,Lower,265.55
North India,Gulab Jamun,Karva Chauth,Punjabi,Lower,483.26
South India,Mysore Pak,Pongal,Malayalam,Lower,343.24
East India,Rasgulla,Durga Puja,Odia,Lower,516.52
North India,Gulab Jamun,Baisakhi,Hindi,Lower,450.34
North India,Gulab Jamun,Holi,Punjabi,Middle,478.85
South India,Boondi Laddu,Ugadi,Tamil,Middle,831.63
East India,Sandesh,Poila Baisakh,Assamese,Lower,882.12
North India,Rasgulla,Diwali,Punjabi,Lower,333.79
South India,Mysore Pak,Ugadi,Telugu,Middle,410.45
East India,Sandesh,Durga Puja,Odia,Upper,785.64
South India,Kozhukattai,Ugadi,Malayalam,Lower,752.53
North India,Gulab Jamun,Diwali,Hindi,Lower,594.93
North India,Gulab Jamun,Baisakhi,Hindi,Middle,969.17
North India,Gulab Jamun,Diwali,Urdu,Upper,858.38
South India,Boondi Laddu,Pongal,Kannada,Upper,474.69
South India,Mysore Pak,Diwali,Tamil,Middle,467.29
North India,Ladoo,Holi,Urdu,Lower,534.15
North India,Gulab Jamun,Karva Chauth,Punjabi,Middle,616.83
West India,Ladoo,Ganesh Chaturthi,Gujarati,Upper,573.55
North India,Rasgulla,Holi,Urdu,Middle,854.98
West India,Ladoo,Ganesh Chaturthi,Gujarati,Lower,408.16
East India,Rasgulla,Makar Sankranti,Assamese,Lower,322.25
North India,Barfi,Diwali,Urdu,Lower,568.41
East India,Pitha,Durga Puja,Assamese,Middle,861.39
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,726.0
North India,Barfi,Karva Chauth,Urdu,Lower,418.51
South India,Boondi Laddu,Diwali,Telugu,Middle,452.68
East India,Sandesh,Durga Puja,Assamese,Middle,139.04
West India,Shrikhand,Ganesh Chaturthi,Marathi,Middle,514.94
South India,Boondi Laddu,Diwali,Malayalam,Upper,568.91
South India,Boondi Laddu,Onam,Kannada,Middle,576.8
South India,Payasam,Ugadi,Tamil,Upper,523.76
South India,Payasam,Ugadi,Kannada,Middle,701.74
West India,Ladoo,Navratri,Marathi,Upper,736.52
North India,Rasgulla,Holi,Punjabi,Upper,113.63
North India,Barfi,Karva Chauth,Punjabi,Lower,996.1
North India,Barfi,Holi,Urdu,Upper,943.16
East India,Chhena Poda,Poila Baisakh,Assamese,Upper,191.44
West India,Ladoo,Ganesh Chaturthi,Gujarati,Upper,280.12
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,997.63
North India,Barfi,Holi,Punjabi,Middle,630.46
South India,Payasam,Onam,Tamil,Lower,716.76
South India,Kozhukattai,Ugadi,Malayalam,Middle,333.75
East India,Rasgulla,Rath Yatra,Odia,Upper,163.97
South India,Payasam,Ugadi,Kannada,Middle,140.63
