Region,Sweet_Preference,Festival,Language,Socio_Economic_Class,Purchase_Amount,Cluster_Label
3,6,3,5,1,0.029838352125098107,3
0,2,12,1,2,1.2692316055111525,8
3,13,4,2,1,-0.5918229971814654,7
0,9,2,1,0,0.16655993164353364,7
1,0,5,9,0,-1.3930831077489323,9
1,3,5,3,0,-0.7873706831875456,3
1,3,0,3,1,-0.9011704988813911,3
0,11,2,0,2,0.651191509649146,7
2,8,9,6,2,0.7859868905268597,0
0,11,7,1,0,-0.943238677194756,4
0,12,2,1,1,-0.7442238336353766,7
2,8,11,6,2,0.0840030579021962,0
0,2,2,1,0,-1.2316676616564428,3
2,1,9,4,0,1.4329970139453225,8
3,10,3,5,0,-1.0410510441706105,7
0,9,2,0,2,0.56717072494086,7
1,5,6,3,2,1.094563912770497,3
0,2,7,1,0,-1.4464773340697412,8
3,13,8,5,1,-1.6001109376537146,6
2,1,11,11,0,1.6119408676683809,5
1,5,0,12,1,-0.8668456391037282,2
2,8,13,10,2,-0.014348644693060781,5
1,3,1,9,1,1.208903064083745,2
0,2,10,0,2,-1.3494354465501754,8
1,3,5,12,2,0.5684805400165509,9
2,1,1,10,1,0.029568684315397296,2
1,3,0,12,2,-1.098798479419451,2
2,1,1,11,1,1.2310928724248604,2
0,9,7,0,1,1.578116819537305,4
1,3,0,9,1,1.4380821783568283,2
2,8,1,11,1,1.5109695349217422,1
3,5,1,5,1,0.45703068666438557,3
1,0,0,3,1,-1.2260046376527207,3
1,11,0,12,1,-0.5032178597082612,1
2,8,9,10,2,0.9820739121523423,6
2,7,11,11,2,0.7122905305328424,5
2,7,13,6,1,-1.5096951734582318,0
2,1,11,10,0,-0.46438569511130895,5
3,5,3,2,0,-1.2910716277363041,3
1,0,1,12,0,-0.49559011309100265,2
3,6,3,7,2,0.12083197591279737,3
3,10,8,2,2,-0.3543997527260926,4
2,1,11,11,2,-0.47721417805851646,5
2,1,13,10,0,-0.47524945544498004,5
1,5,6,9,0,1.4228652090951257,9
2,1,11,4,0,-0.35582513972022656,8
1,5,5,9,1,-1.126150500117701,9
1,5,5,9,0,1.4408559043994675,9
2,8,1,6,0,0.3904997856138536,1
3,6,1,7,1,-0.058651213429662875,3
3,6,3,5,0,-1.172302219549396,3
0,11,12,1,0,-0.1343122960372163,4
2,1,11,11,2,-0.5727921546111336,5
2,8,1,6,1,-1.6333186022197588,1
0,9,10,8,2,0.09232423603011439,6
2,1,9,10,0,0.03684971517732576,9
0,11,2,1,0,-0.8652661562183362,7
1,3,0,9,0,1.2983942529316808,2
3,13,8,2,2,-0.812912077163517,4
1,11,0,9,2,-0.7965393887173814,1
1,3,6,12,1,-0.8240455053068891,9
3,13,1,5,0,0.568596111934994,7
0,9,10,0,0,1.3551015409145317,4
1,11,6,9,2,-0.2942253071899426,6
1,0,6,12,1,1.1660644063140915,9
2,7,13,6,2,-0.45517846560865866,0
2,4,13,10,2,0.667140434394323,5
2,1,13,11,2,0.9508694941726485,5
1,3,5,9,0,0.3292081448660851,9
2,1,13,6,2,-1.5418626907582864,8
2,7,13,10,1,-1.6721122428438964,5
2,8,9,10,0,0.693606403717841,6
3,10,8,2,1,1.20443428323727,4
0,12,2,8,0,0.43853917971345613,1
2,8,13,6,0,0.9232092816918829,0
2,8,9,6,2,-1.7299752500111802,0
0,12,7,0,1,1.0553079844725863,4
1,11,6,12,0,1.0573497550317512,6
2,1,9,4,0,1.3994041096511338,8
0,9,7,0,1,0.6437178589231455,4
0,9,12,0,0,1.0638217824645764,4
2,7,11,6,0,-0.9942829411738845,0
2,1,9,6,1,-1.2484641138035373,8
1,11,0,3,1,-0.48314686987193955,7
1,11,1,9,2,0.15153558224590347,1
0,2,2,1,1,-0.3703872014440837,3
2,1,13,4,2,0.23355312036783885,8
1,11,5,9,1,1.5370887884899302,1
1,11,5,12,0,1.228242098436592,1
3,13,8,5,2,1.3913140753601019,6
0,12,2,8,2,1.505845846537422,1
3,10,4,2,0,-1.2365987301766908,7
1,0,0,9,1,-0.736249371262788,2
3,6,4,5,1,-1.6553157906968021,3
0,12,7,1,2,-1.4729047794204448,4
0,12,7,0,0,-0.21012747453602734,4
3,10,1,7,0,0.32150335030319777,1
3,6,3,7,0,1.371011941686894,3
1,3,5,3,2,1.5253389767815273,3
3,5,4,2,1,-0.6084268294644876,3
1,11,1,9,1,-0.4439294655468431,1
3,6,1,2,2,1.3261315133580753,3
0,12,10,8,1,0.7612544999799915,6
1,0,0,9,1,-0.2354762486479268,2
1,0,6,9,2,0.2731942883938944,9
1,3,0,3,0,-0.04497520308053762,3
1,5,0,3,2,1.102153135414941,3
1,0,5,12,0,-1.3780202343784875,9
2,1,1,4,0,-0.17514770722051898,3
0,2,10,0,0,1.490551829330091,8
1,0,0,9,0,-0.9890051568983066,2
0,9,2,0,1,-0.09632765884218177,7
2,8,9,11,1,1.437273174927725,5
0,12,10,0,0,-1.4934380569305394,4
1,3,5,3,2,0.06358535231054453,3
0,9,12,8,0,-0.5010605172306527,6
2,8,13,4,1,-0.9616531362000568,0
2,1,11,4,0,-1.6155975747251181,8
2,1,13,11,1,-0.17807552915441613,5
2,1,13,4,0,-0.5501400585962448,8
3,10,4,7,1,-1.1767710003958707,1
2,4,13,11,1,-0.991162499375915,5
0,2,12,0,2,1.5866691415021101,8
0,11,12,8,0,-0.41773316403302635,6
3,13,3,7,0,0.4602281764079839,1
2,1,13,4,1,1.2257380402036537,8
0,11,12,1,2,-1.1005320581961004,4
1,5,6,12,1,-1.6273088624607066,9
2,7,13,11,1,-1.6141721877309838,5
2,1,9,6,0,0.4327605837912907,8
1,5,6,9,0,1.3147669413778165,9
2,7,13,4,2,0.44612840235790024,0
1,3,1,12,1,-0.040737566070949506,2
1,0,5,12,0,0.5312663822778048,9
3,13,3,7,2,0.7244641059422047,1
0,2,2,1,2,-0.007260233695204324,3
1,5,1,12,0,-0.3673823315645575,2
1,3,5,12,1,1.2510482903427385,9
2,8,1,10,0,-0.7376362342841077,1
0,2,7,0,0,0.6944154071469439,8
2,7,9,11,1,1.1793166529622574,5
2,8,13,4,2,-0.1411695631981859,0
1,0,1,12,1,-1.4411225018485347,2
1,0,5,9,1,-0.4684692362296392,9
0,9,12,8,1,-0.7157160937526934,6
3,13,1,7,1,-1.5246424749102332,1
2,4,11,4,2,1.5538852406370247,0
1,5,6,3,0,-0.128456652169422,3
1,5,0,9,2,1.591176446321399,2
0,2,2,1,1,-1.068711256651376,3
3,5,8,2,0,1.2557482150260997,0
0,12,10,0,1,-0.06188722714607523,4
0,9,10,0,2,-0.10457178902447115,4
2,8,11,10,0,-0.29291549211425166,5
2,4,1,10,2,0.6478014000414756,2
2,1,11,4,1,-1.138940459092094,8
1,5,1,12,2,0.7049324517252852,2
2,4,9,11,2,-1.7052813834371263,5
2,7,9,6,2,-0.6892501244291754,0
0,2,2,0,2,1.5142440726109694,3
1,5,6,3,1,-0.03626878522447498,3
1,3,6,12,1,-1.5376250537486984,9
1,11,1,3,0,1.437273174927725,7
3,5,1,2,1,0.7468850581202066,3
2,4,13,6,2,-0.973595567772532,0
0,12,7,1,2,1.216569334673818,4
0,2,12,1,2,0.548293978261786,8
0,11,12,8,1,1.4826929388759458,6
3,5,1,5,0,-0.61747996307588,3
1,5,1,12,2,-0.8642645329251609,2
1,3,6,3,1,-1.1366675446960421,8
2,4,13,11,2,-1.2433789493920315,5
3,6,8,7,2,-0.14575391596310386,0
2,8,11,11,0,0.03538580421037719,5
3,13,1,7,0,0.4341474468126104,1
0,11,7,0,0,-1.0079204275501952,4
1,0,6,9,1,-1.6973454450373524,9
1,3,6,3,1,1.3291363832376013,8
2,7,11,6,2,1.3843797602535035,0
1,11,5,12,2,-1.6309301159052636,1
1,3,5,3,2,-1.0269512701205268,3
0,2,7,0,1,0.9806485251582081,8
1,11,5,9,0,1.7246234881506077,1
1,11,1,9,1,0.3679247375445937,1
1,5,1,3,2,-1.262833555663322,3
2,8,13,6,2,-0.4226642325532742,0
0,9,10,0,0,0.8706625827729914,4
1,11,5,9,0,0.08912674628651598,1
3,10,3,7,0,1.478532349811987,1
2,4,11,6,2,0.09764054427850662,0
2,1,1,6,0,0.09891183538138318,3
3,6,8,5,2,-0.33309599575970905,0
0,9,12,0,0,-0.47729122600414525,4
3,5,3,7,1,-0.14386624129519665,3
3,6,1,5,2,-1.6478806639436159,3
3,6,1,5,0,1.2632218657521002,3
1,3,5,9,2,-1.6211065028375824,9
2,4,9,10,1,0.3560208299449331,5
3,5,3,7,2,-0.45109492449032834,3
1,3,6,9,0,-1.6118607493621175,9
0,2,2,8,2,-0.3662266123801246,2
3,10,3,7,1,-1.1147474041646277,1
3,6,3,2,1,0.15288392129440884,3
3,6,4,2,2,1.0062284431069939,3
0,9,7,0,2,1.6988124263649351,4
0,12,10,1,2,-0.6579686585038529,4
2,7,13,6,0,0.5823491702297482,0
1,5,0,12,2,-1.0229833009206397,2
0,12,7,1,0,-0.5911680896436199,4
1,11,5,12,2,-1.4867348856608276,1
0,11,2,1,0,-1.4094557961950678,7
1,3,1,12,2,-0.5416262606042543,2
2,4,13,6,2,1.5405944700160439,0
0,11,2,8,0,0.4401186625988479,1
3,6,1,2,0,-1.053455763416859,3
1,11,1,3,1,-1.1306192809641755,7
1,11,5,9,2,0.6205264272888547,1
2,8,9,4,1,-0.6170947233477357,0
3,10,4,7,1,-0.17923124833884926,1
0,2,12,8,2,0.6490341671715377,5
3,13,4,7,0,1.583394603812883,1
0,11,10,0,2,-0.9261725572379605,4
1,11,6,3,2,0.735173770384618,7
0,11,12,0,1,-0.788487878399164,4
2,1,11,6,0,0.788645044651056,8
3,6,4,7,2,-0.24691786857381434,3
1,5,5,3,0,-1.2722334050300446,3
0,12,2,8,2,-1.5588132387966385,1
1,3,1,12,1,1.4162390857710425,2
0,11,12,0,0,0.6483792596336925,4
2,1,11,10,2,1.3822994657215242,5
2,8,13,11,1,-0.4583374313794424,5
3,5,3,5,0,-0.051485754486177614,3
3,5,8,7,0,0.8322156579041836,0
1,11,5,9,1,0.766840476038085,1
2,1,1,10,0,-0.6342764152229744,2
0,9,2,1,0,1.6998910976037391,7
0,9,2,0,1,0.5469841631860951,7
0,9,7,0,1,0.5491415056637038,4
3,10,1,5,1,1.5392076069947245,7
2,1,13,10,1,-0.7598260426252232,5
3,10,3,2,2,1.727011974465103,7
0,12,10,1,0,-1.620721263109438,4
2,7,1,4,2,-0.19240644704138665,3
2,7,13,4,0,1.301129455001506,0
2,8,13,11,0,-0.5822305279506707,5
2,4,9,6,0,-0.6742642990043596,0
0,9,7,0,0,0.26055842531075885,4
0,11,12,0,2,1.5335831069638166,4
1,5,6,3,0,-0.31063651960889255,3
2,8,13,11,2,0.8939695863257258,5
0,9,12,8,1,-0.5953672026803933,6
1,5,0,12,2,0.04124144807817148,2
0,12,10,0,1,-1.3325619464574523,4
1,5,0,12,0,0.2847514802382254,2
2,4,1,10,2,0.04717413989159458,2
1,5,0,3,2,-0.5341526098782536,3
1,5,1,9,0,-0.3418409375885861,2
2,8,1,6,2,-1.0967181848874714,1
2,1,11,11,1,-0.41892740719027394,5
1,5,5,12,0,0.7558996677587848,9
1,3,0,9,2,-0.251039933664959,2
2,1,13,11,2,-0.877247111763626,5
2,1,11,4,1,-1.3109885216813677,8
2,8,11,6,2,1.3094121091566098,0
3,5,8,7,1,0.3714689430435221,0
1,5,6,9,0,0.7929597296062729,9
3,6,8,5,0,1.5232972062223622,0
1,5,5,9,1,-1.1858626579800777,9
2,1,1,10,1,1.2056670503673321,2
3,13,3,7,1,1.4841183258700799,1
1,0,0,12,2,1.5387453193209513,2
0,11,2,8,0,0.5898998689013775,1
1,11,6,12,2,1.2463098416865626,6
3,13,4,7,0,-0.4407704997760593,1
3,10,8,7,2,-0.8773241597092548,6
0,2,10,1,2,-0.16802077224984813,8
1,3,5,9,2,1.0836231044911968,9
2,8,11,10,2,-1.2223063362625346,5
0,2,10,0,2,-0.6735708674936998,8
0,12,7,8,0,-0.29287696814143727,6
3,13,8,2,1,-0.6134349459303642,4
1,0,1,3,1,0.936538576285678,3
3,10,3,7,0,-0.6137046137400651,1
2,4,13,11,1,0.7369458731340822,5
3,13,8,5,2,-0.07055512102932347,6
2,4,1,6,2,-1.0590417394749523,3
0,12,2,1,2,-1.4887381322471782,7
0,2,10,8,0,1.4731004696451508,5
0,11,2,0,1,0.5571544920091063,7
2,4,11,6,0,1.0107742718990973,0
3,5,3,5,2,1.0394361076730383,3
1,11,5,3,0,0.6277689341779688,7
2,1,13,10,0,1.2274330950074888,5
1,11,5,3,0,0.5852769921636453,7
2,7,9,10,0,0.16898694193084313,5
3,13,4,2,0,-0.3403385026488231,7
3,10,8,7,2,-0.8003532620260106,6
1,5,1,12,0,-0.3334427115150389,2
0,9,7,1,2,0.9465933331902461,4
3,5,8,2,0,1.6917240153670787,0
2,8,1,4,2,0.9824206279076719,7
3,6,1,2,0,-0.05271852161623934,3
0,2,10,1,1,-0.8897674029283179,8
2,8,9,6,0,-0.572561010774247,0
2,4,13,11,1,1.3702029382577912,5
3,6,4,2,0,-0.028178750933443207,3
1,11,0,12,1,-1.318500696380183,1
3,6,4,5,1,-0.6550793605427702,3
1,5,6,12,0,0.9720191552477743,9
3,13,1,7,1,-0.2759264201030852,1
1,11,5,3,0,-0.1048414568341724,7
0,11,2,1,0,1.040553302884657,7
1,0,0,12,2,-1.1076589931667713,2
3,5,8,7,1,0.38302613488785314,0
3,5,4,5,0,1.6183743711283916,3
3,13,1,7,0,-1.4947478720062304,1
3,5,3,2,0,-0.04840383666102242,3
2,7,9,6,2,-0.15122432010275394,0
0,11,2,1,0,-0.37266011584013536,7
1,5,0,9,0,0.08134490377799986,2
2,8,11,11,0,0.8375319661525757,5
1,11,6,9,0,-1.0530319997159003,6
0,9,10,8,0,-1.5078460227631387,6
0,12,12,0,0,1.4783397299479144,4
2,8,11,11,2,0.4565298750177979,5
1,3,6,9,0,0.060310814621317335,9
0,9,12,0,0,0.18351047968188566,4
0,12,10,1,1,1.0167069637125208,4
0,2,10,0,0,1.107084203935189,8
2,4,13,6,1,-1.6299670165849027,0
2,4,13,6,0,0.6157494546598645,0
1,11,0,12,0,1.655819672704024,1
3,13,4,5,2,0.201270031149341,7
3,10,4,7,2,1.0913278990540842,1
1,11,5,12,0,0.04617251659841926,1
2,4,13,11,2,-0.17900010450196263,5
3,6,8,7,2,-0.8526302931352011,0
0,2,2,0,1,0.8447359490688755,3
2,8,13,10,1,1.0083857855846021,5
0,12,2,0,2,1.546912401557612,7
3,6,3,2,2,-0.4122242359205619,3
1,0,6,12,0,-1.3279005457469053,9
3,6,1,7,1,-0.08288279232994336,3
1,11,0,12,2,0.8821042026988791,1
2,7,11,4,2,-0.9985205781834725,0
3,10,1,2,2,0.6439104787872175,7
1,3,6,3,1,1.6436846212674765,8
3,5,1,7,0,-1.5905955163685488,3
1,5,6,9,2,0.788645044651056,9
2,1,13,11,1,-1.0130055919617007,5
1,11,6,9,0,1.1293125362491188,6
3,5,3,7,0,-0.3954277837734675,3
2,4,11,11,2,-1.1654064284156118,5
0,11,12,8,2,0.3272048982797345,6
1,11,6,9,2,-0.0958268471955941,6
3,6,3,7,2,-1.3482026794201136,3
2,8,13,10,2,0.43938670711537386,5
0,9,2,8,0,-1.3569476212489908,1
1,11,0,9,2,0.713561821635719,1
1,5,5,9,0,1.1938016667404856,9
1,3,0,3,1,-0.955412252604118,3
0,12,7,1,0,-0.14467524472429952,4
1,5,6,12,0,0.09116851684568146,9
0,12,12,1,1,0.7558611437859705,4
3,10,8,2,2,1.1820903790048969,4
3,6,4,7,1,0.13466208215318023,3
3,13,8,2,0,-0.7161783814264666,4
2,7,13,10,2,-1.2854471277053963,5
2,1,11,10,1,-1.3875356556636533,5
0,9,2,1,1,-0.3368713450955239,7
3,10,8,2,1,1.1122464162923233,4
1,0,6,12,2,-1.07595376354049,9
2,1,1,11,1,-1.711059979359292,2
2,4,11,6,0,0.5352728754505065,0
1,0,1,12,2,-1.4680892828186403,2
2,4,11,11,1,0.1127034176489512,5
2,4,1,11,2,-1.4959806391362924,2
0,12,12,8,1,-0.490235280869796,6
0,11,10,8,1,0.6355893006592993,6
3,5,8,7,1,-1.703201088905147,0
1,0,1,3,0,-0.6375509529122017,3
3,6,8,2,2,-0.12591406996366888,0
0,9,7,8,2,1.217493910021364,6
1,3,1,9,2,1.5078876170965876,2
3,10,4,7,0,-1.0965640889962136,1
1,5,5,9,2,1.3040958009082175,9
3,13,4,2,1,-1.0363896434600637,7
0,11,10,8,0,0.16428701724748176,6
1,5,0,3,0,-0.6942967648678666,3
1,5,6,12,2,0.03214979049396439,9
2,1,1,6,2,-0.953832769718726,3
2,8,9,11,0,0.3645731519097377,5
3,6,3,5,2,1.20443428323727,3
1,11,6,3,2,-0.5723683909101749,7
2,1,13,4,0,-0.8713529439230173,8
1,3,0,9,0,-0.14964483721736194,2
0,12,7,1,1,1.00376290884687,4
0,2,7,1,2,-0.47952561642738256,8
0,11,12,0,1,-1.4495207279220819,4
2,7,1,10,2,-0.0339188228827943,1
2,4,13,4,1,-0.43437552028886295,0
3,10,8,7,0,1.5592400728582312,6
0,11,12,8,2,1.0674430359091336,6
2,8,11,11,2,1.5493779358177358,5
1,3,6,9,1,1.5186358055118152,9
3,5,8,7,0,1.241725488921645,0
3,13,4,7,2,0.7767796610242094,1
0,11,2,0,1,-0.020050192669597032,7
2,4,9,10,0,1.4252922193824353,5
3,13,4,7,1,1.3037876091257024,1
2,7,1,6,1,0.05615022555735846,3
0,9,12,1,2,1.3038261330985168,4
3,6,1,7,1,-0.6702963298044727,3
